total,total_percent_of_all_persons_age_25_and_over,standard_errors_total_percent_of_all_persons_age_25_and_over,white1,standard_errors_white1,black1,standard_errors_black1,hispanic,standard_errors_hispanic,total_asian_pacific_islander,standard_errors_total_asian_pacific_islander,asian_pacific_islander_asian,standard_errors_asian_pacific_islander_asian,asian_pacific_islander_pacific_islander,standard_errors_asian_pacific_islander_pacific_islander,american_indian_alaska_native,standard_errors_american_indian_alaska_native,two_or_more_race,standard_errors_two_or_more_race
1910,2.7,(—),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†)
1920,3.3,(—),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†)
1930,3.9,(—),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†)
1940,4.6,(—),4.9,(—),1.3,(—),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†)
1950,6.2,(—),6.6,(—),2.2,(—),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†)
1960,7.7,(—),8.1,(—),3.5,(—),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†)
1970,11,(—),11.6,(—),6.1,(—),—,(†),—,(†),—,(†),—,(†),—,(†),—,(†)
1975,13.9,(—),14.9,(—),6.4,(—),6.6,(—),—,(†),—,(†),—,(†),—,(†),—,(†)
1980,17,-0.16,18.4,-0.18,7.9,-0.44,7.6,-0.63,—,(†),—,(†),—,(†),—,(†),—,(†)
1985,19.4,-0.16,20.8,-0.19,11.1,-0.47,8.5,-0.55,—,(†),—,(†),—,(†),—,(†),—,(†)
1986,19.4,-0.16,20.9,-0.19,10.9,-0.47,8.4,-0.53,—,(†),—,(†),—,(†),—,(†),—,(†)
1987,19.9,-0.16,21.4,-0.19,10.8,-0.46,8.6,-0.53,—,(†),—,(†),—,(†),—,(†),—,(†)
1988,20.3,-0.16,21.8,-0.19,11.2,-0.46,10,-0.55,—,(†),—,(†),—,(†),—,(†),—,(†)
1989,21.1,-0.16,22.8,-0.19,11.7,-0.46,9.9,-0.53,41.5,-1.51,—,(†),—,(†),—,(†),—,(†)
1990,21.3,-0.16,23.1,-0.19,11.3,-0.45,9.2,-0.51,41.7,-1.47,—,(†),—,(†),—,(†),—,(†)
1991,21.4,-0.16,23.3,-0.19,11.5,-0.45,9.7,-0.51,40.3,-1.42,—,(†),—,(†),—,(†),—,(†)
1992,21.4,-0.16,23.2,-0.19,11.9,-0.45,9.3,-0.49,39.3,-1.35,—,(†),—,(†),—,(†),—,(†)
1993,21.9,-0.16,23.8,-0.19,12.2,-0.45,9,-0.48,42.1,-1.35,—,(†),—,(†),—,(†),—,(†)
1994,22.2,-0.16,24.3,-0.19,12.9,-0.46,9.1,-0.45,41.3,-1.34,—,(†),—,(†),—,(†),—,(†)
1995,23,-0.16,25.4,-0.19,13.3,-0.47,9.3,-0.45,38.5,-1.4,—,(†),—,(†),—,(†),—,(†)
1996,23.6,-0.17,25.9,-0.2,13.8,-0.42,9.3,-0.4,42.3,-1.09,—,(†),—,(†),—,(†),—,(†)
1997,23.9,-0.16,26.2,-0.19,13.3,-0.41,10.3,-0.33,42.6,-1.04,—,(†),—,(†),—,(†),—,(†)
1998,24.4,-0.16,26.6,-0.19,14.8,-0.42,11,-0.33,42.3,-1.02,—,(†),—,(†),—,(†),—,(†)
1999,25.2,-0.16,27.7,-0.19,15.5,-0.43,10.9,-0.33,42.4,-1.01,—,(†),—,(†),—,(†),—,(†)
2000,25.6,-0.16,28.1,-0.19,16.6,-0.44,10.6,-0.32,44.4,-1,—,(†),—,(†),—,(†),—,(†)
2001,26.1,-0.16,28.6,-0.19,16.1,-0.43,11.2,-0.32,48,-0.92,—,(†),—,(†),—,(†),—,(†)
